repeat_count	rule	file	line	all_files
3	DOMAIN-SUFFIX,observeit.net	rule/ai/Copilot.list	49	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,observeit.net	rule/ai/OpenAI.list	34	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,observeit.net	rule/google/OpenAI.list	34	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openai.com	rule/ai/Copilot.list	50	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openai.com	rule/ai/OpenAI.list	35	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openai.com	rule/google/OpenAI.list	35	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaiapi-site.azureedge.net	rule/ai/Copilot.list	51	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaiapi-site.azureedge.net	rule/ai/OpenAI.list	36	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaiapi-site.azureedge.net	rule/google/OpenAI.list	36	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaicom.imgix.net	rule/ai/Copilot.list	52	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaicom.imgix.net	rule/ai/OpenAI.list	37	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,openaicom.imgix.net	rule/google/OpenAI.list	37	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,segment.io	rule/ai/Copilot.list	53	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,segment.io	rule/ai/OpenAI.list	38	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,segment.io	rule/google/OpenAI.list	38	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,sentry.io	rule/ai/Copilot.list	54	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,sentry.io	rule/ai/OpenAI.list	39	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,sentry.io	rule/google/OpenAI.list	39	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,stripe.com	rule/ai/Copilot.list	55	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,stripe.com	rule/ai/OpenAI.list	40	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,stripe.com	rule/google/OpenAI.list	40	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,turn.livekit.cloud	rule/ai/Copilot.list	56	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,turn.livekit.cloud	rule/ai/OpenAI.list	41	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	DOMAIN-SUFFIX,turn.livekit.cloud	rule/google/OpenAI.list	41	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-ASN,20473,no-resolve	rule/ai/Copilot.list	61	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-ASN,20473,no-resolve	rule/ai/OpenAI.list	45	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-ASN,20473,no-resolve	rule/google/OpenAI.list	45	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-CIDR,24.199.123.28/32,no-resolve	rule/ai/Copilot.list	58	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-CIDR,24.199.123.28/32,no-resolve	rule/ai/OpenAI.list	43	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
3	IP-CIDR,24.199.123.28/32,no-resolve	rule/google/OpenAI.list	43	rule/ai/Copilot.list | rule/ai/OpenAI.list | rule/google/OpenAI.list
